File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
564765f8-d7fa-438c-9105-f0b850853c3c	996d1cd9-fbf6-4b47-ad81-3ebc305a8837.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-D6-A6EQ	TCGA-D6-A6EQ-01A	Primary Tumor
40c375ae-e9eb-42f2-bd8c-e122352d1e67	df0459ef-6e9f-46c2-8288-1179f0ae091d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-A45W	TCGA-CV-A45W-01A	Primary Tumor
af01c84f-dace-4c11-997a-37bde4cedd94	49893832-1a4f-477c-bcdd-f904d8399b4b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CN-A63W	TCGA-CN-A63W-01A	Primary Tumor
06f89bc6-2e97-4bfa-989c-4934e7f28f05	9901dccf-afd1-4ebf-9efd-5aed4de03636.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-5440	TCGA-CV-5440-01A	Primary Tumor
a0c9c4e2-b1c4-49cb-a009-cee2aafa8104	c5d86cae-cf78-4831-a5f4-bbfce5f496ee.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-D6-6517	TCGA-D6-6517-01A	Primary Tumor
f480bebb-6a2c-4c8b-842b-9c3ac7c4ae38	6575cdf0-09dd-4511-a487-d201184ecce0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-BA-A6DA	TCGA-BA-A6DA-01A	Primary Tumor
8c326fb7-18f4-44ec-a2c8-479ce33fda20	cf3dbfa8-f751-43bd-8df2-229bd34978eb.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-UF-A718	TCGA-UF-A718-01A	Primary Tumor
07458e60-4784-4ba5-963c-a9acb12444e0	f5659309-d6c2-49de-a04b-4734e2b70093.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-BA-6868	TCGA-BA-6868-01B	Primary Tumor
e9cec958-908e-4011-8c36-4156b594c72b	f3ef5625-ff89-4e70-9844-275edeabcb88.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7422	TCGA-CV-7422-01A	Primary Tumor
f26deb3a-a615-4678-865d-0e1b6c3ca046	6c8c027a-bc7f-4a73-b962-071b4decd6a9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CR-7370	TCGA-CR-7370-01A	Primary Tumor
b01bdd7d-e02b-466e-b60d-fb6f1e31f919	cb7df6d7-2b33-4d50-82ae-706d8a237270.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7261	TCGA-CV-7261-01A	Primary Tumor
d743617a-f053-4abf-aa41-3eca383262be	6b7a43cb-ff8f-4a5d-a6fe-61eec2f789a4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-5435	TCGA-CV-5435-01A	Primary Tumor
4dcbd438-8c68-4b00-b81b-989577ceda0d	fb3bc987-c15c-4c73-a9cb-5312f548805b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-UF-A71D	TCGA-UF-A71D-01A	Primary Tumor
82cfb1c3-e32b-427f-98cc-fe54909ac06a	852726f5-cf78-4e8a-bafb-be78aed6eea7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-UF-A7JH	TCGA-UF-A7JH-01A	Primary Tumor
c8f7bd7e-b434-42cf-9bb3-415decab5b05	2b96185f-43b4-4581-b74c-329e870252a0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7242	TCGA-CV-7242-11A	Solid Tissue Normal
604d9cf2-ba6b-4be5-80e0-baf0d6ecc9db	29c24d83-b40f-443e-81db-f764c4b03d36.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-BB-4217	TCGA-BB-4217-01A	Primary Tumor
b51ed084-8eee-43e4-9dbd-570ec4df8880	75fc5562-132a-471c-95bd-983ea1d497b7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7248	TCGA-CV-7248-01A	Primary Tumor
acd29c8d-3356-424d-b40f-ba3f00e6047c	34404ab0-933f-43f5-89a6-38af91b8d65d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-QK-AA3J	TCGA-QK-AA3J-01A	Primary Tumor
ce45adac-fa61-4ba2-a95e-51157cf4615b	ad86d99e-5d4c-4d7d-8644-3616502c006f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-T3-A92M	TCGA-T3-A92M-01A	Primary Tumor
d3c2a302-6b87-48bf-aad1-3dcb0c352828	df4c0fd3-2ca8-43c0-94e3-a7c972fa01bb.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-F7-7848	TCGA-F7-7848-01A	Primary Tumor
db5f06cf-714c-4da8-8058-09a5b4dcaf33	332578e8-f23f-48f3-912f-afedc27dcc6e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7410	TCGA-CV-7410-01A	Primary Tumor
6a03be9a-9086-4875-80c0-df219c8c438a	029e3d06-38b8-425c-8e4b-27b72cf71afd.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-6935	TCGA-CV-6935-01A	Primary Tumor
11432de6-8437-4cdb-b8fe-c247221122e3	82dcf543-77eb-416d-ae9f-2d7cce203d63.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-A6K1	TCGA-CV-A6K1-01A	Primary Tumor
bf307194-093f-4fb0-867c-7db696aca1e8	5845a5be-e598-4b7e-8abb-960620c2b47b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CN-6997	TCGA-CN-6997-01A	Primary Tumor
887e2e89-af5f-49ee-b54c-ef9d323ddde9	6a38fa25-a6cb-411f-9028-3094b34dbdbb.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7440	TCGA-CV-7440-01A	Primary Tumor
43897c39-4597-4974-a881-4fb58bd76755	f4d49fea-2d9b-450f-ada5-1cbeabb24d34.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-UF-A7JK	TCGA-UF-A7JK-01A	Primary Tumor
